Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Chlamydia,2000,Alabama,1,15-19,All races/ethnicities,Both sexes,"6,112",1879.4,"325,203"
Gonorrhea,2019,Alaska,2,15-19,All races/ethnicities,Both sexes,206,456.7,"45,110"
Gonorrhea,2018,Alaska,2,15-19,All races/ethnicities,Both sexes,227,495.1,"45,848"
Gonorrhea,2017,Alaska,2,15-19,All races/ethnicities,Both sexes,214,458.8,"46,643"
Gonorrhea,2016,Alaska,2,15-19,All races/ethnicities,Both sexes,140,296.7,"47,193"
Gonorrhea,2015,Alaska,2,15-19,All races/ethnicities,Both sexes,125,263.9,"47,364"
Gonorrhea,2014,Alaska,2,15-19,All races/ethnicities,Both sexes,128,266.7,"47,997"
Gonorrhea,2013,Alaska,2,15-19,All races/ethnicities,Both sexes,91,186.6,"48,770"
Gonorrhea,2012,Alaska,2,15-19,All races/ethnicities,Both sexes,86,173.6,"49,533"
Gonorrhea,2011,Alaska,2,15-19,All races/ethnicities,Both sexes,151,297.4,"50,776"
Gonorrhea,2010,Alaska,2,15-19,All races/ethnicities,Both sexes,221,425.1,"51,992"
Gonorrhea,2009,Alaska,2,15-19,All races/ethnicities,Both sexes,174,336,"51,788"
Gonorrhea,2008,Alaska,2,15-19,All races/ethnicities,Both sexes,110,208.5,"52,765"
Gonorrhea,2007,Alaska,2,15-19,All races/ethnicities,Both sexes,99,183.8,"53,850"
Gonorrhea,2006,Alaska,2,15-19,All races/ethnicities,Both sexes,114,209.1,"54,520"
Gonorrhea,2005,Alaska,2,15-19,All races/ethnicities,Both sexes,110,201.8,"54,503"
Gonorrhea,2004,Alaska,2,15-19,All races/ethnicities,Both sexes,139,255.4,"54,429"
Gonorrhea,2003,Alaska,2,15-19,All races/ethnicities,Both sexes,122,226.4,"53,879"
Gonorrhea,2002,Alaska,2,15-19,All races/ethnicities,Both sexes,147,275.3,"53,395"
Gonorrhea,2001,Alaska,2,15-19,All races/ethnicities,Both sexes,91,174,"52,296"
Gonorrhea,2000,Alaska,2,15-19,All races/ethnicities,Both sexes,67,133.5,"50,188"
Chlamydia,2019,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,269",2813.1,"45,110"
Chlamydia,2018,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,246",2717.7,"45,848"
Chlamydia,2017,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,249",2677.8,"46,643"
Chlamydia,2016,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,313",2782.2,"47,193"
Chlamydia,2015,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,249",2637,"47,364"
Chlamydia,2014,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,319",2748.1,"47,997"
Chlamydia,2013,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,336",2739.4,"48,770"
Chlamydia,2012,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,329",2683.1,"49,533"
Chlamydia,2011,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,633",3216.1,"50,776"
Chlamydia,2010,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,639",3152.4,"51,992"
Chlamydia,2009,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,486",2869.4,"51,788"
Chlamydia,2008,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,368",2592.6,"52,765"
Chlamydia,2007,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,419",2635.1,"53,850"
Chlamydia,2006,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,378",2527.5,"54,520"
Chlamydia,2005,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,354",2484.3,"54,503"
Chlamydia,2004,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,270",2333.3,"54,429"
Chlamydia,2003,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,338",2483.3,"53,879"
Chlamydia,2002,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,292",2419.7,"53,395"
Chlamydia,2001,Alaska,2,15-19,All races/ethnicities,Both sexes,"1,014",1939,"52,296"
Chlamydia,2000,Alaska,2,15-19,All races/ethnicities,Both sexes,958,1908.8,"50,188"
Gonorrhea,2019,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,810",378.6,"478,065"
Gonorrhea,2018,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,667",352.3,"473,184"
Gonorrhea,2017,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,866",397.6,"469,265"
Gonorrhea,2016,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,531",327.1,"468,080"
Gonorrhea,2015,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,266",274.3,"461,585"
Gonorrhea,2014,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,215",266.8,"455,356"
Gonorrhea,2013,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,151",254.6,"452,029"
Gonorrhea,2012,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,266",280,"452,078"
Gonorrhea,2011,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,073",236.4,"453,859"
Gonorrhea,2010,Arizona,4,15-19,All races/ethnicities,Both sexes,777,169,"459,891"
Gonorrhea,2009,Arizona,4,15-19,All races/ethnicities,Both sexes,730,162.4,"449,568"
Gonorrhea,2008,Arizona,4,15-19,All races/ethnicities,Both sexes,756,168.8,"447,776"
Gonorrhea,2007,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,147",260.9,"439,581"
Gonorrhea,2006,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,280",299.1,"427,941"
Gonorrhea,2005,Arizona,4,15-19,All races/ethnicities,Both sexes,"1,082",261.5,"413,723"
Gonorrhea,2004,Arizona,4,15-19,All races/ethnicities,Both sexes,907,228,"397,890"
Gonorrhea,2003,Arizona,4,15-19,All races/ethnicities,Both sexes,776,201.3,"385,547"
Gonorrhea,2002,Arizona,4,15-19,All races/ethnicities,Both sexes,735,195.2,"376,443"
Gonorrhea,2001,Arizona,4,15-19,All races/ethnicities,Both sexes,852,230.1,"370,321"
Gonorrhea,2000,Arizona,4,15-19,All races/ethnicities,Both sexes,952,257.1,"370,255"
Chlamydia,2019,Arizona,4,15-19,All races/ethnicities,Both sexes,"9,606",2009.4,"478,065"
Chlamydia,2018,Arizona,4,15-19,All races/ethnicities,Both sexes,"9,390",1984.4,"473,184"
Chlamydia,2017,Arizona,4,15-19,All races/ethnicities,Both sexes,"9,386",2000.1,"469,265"
Chlamydia,2016,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,421",1799.1,"468,080"
Chlamydia,2015,Arizona,4,15-19,All races/ethnicities,Both sexes,"7,680",1663.8,"461,585"
Chlamydia,2014,Arizona,4,15-19,All races/ethnicities,Both sexes,"7,726",1696.7,"455,356"
Chlamydia,2013,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,033",1777.1,"452,029"
Chlamydia,2012,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,591",1900.3,"452,078"
Chlamydia,2011,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,799",1938.7,"453,859"
Chlamydia,2010,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,245",1792.8,"459,891"
Chlamydia,2009,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,385",1865.1,"449,568"
Chlamydia,2008,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,176",1825.9,"447,776"
Chlamydia,2007,Arizona,4,15-19,All races/ethnicities,Both sexes,"8,080",1838.1,"439,581"
Chlamydia,2006,Arizona,4,15-19,All races/ethnicities,Both sexes,"7,465",1744.4,"427,941"
Chlamydia,2005,Arizona,4,15-19,All races/ethnicities,Both sexes,"6,595",1594.1,"413,723"
Chlamydia,2004,Arizona,4,15-19,All races/ethnicities,Both sexes,"5,339",1341.8,"397,890"
Chlamydia,2003,Arizona,4,15-19,All races/ethnicities,Both sexes,"4,191",1087,"385,547"
Chlamydia,2002,Arizona,4,15-19,All races/ethnicities,Both sexes,"4,814",1278.8,"376,443"
Chlamydia,2001,Arizona,4,15-19,All races/ethnicities,Both sexes,"4,786",1292.4,"370,321"
Chlamydia,2000,Arizona,4,15-19,All races/ethnicities,Both sexes,"4,343",1173,"370,255"
Gonorrhea,2019,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,453",736.6,"197,251"
Gonorrhea,2018,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,578",798.6,"197,607"
Gonorrhea,2017,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,561",788.7,"197,931"
Gonorrhea,2016,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,320",664.2,"198,723"
Gonorrhea,2015,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,098",554.3,"198,080"
Gonorrhea,2014,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,096",556.6,"196,905"
Gonorrhea,2013,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,059",537.4,"197,053"
Gonorrhea,2012,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,288",651.4,"197,713"
Gonorrhea,2011,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,443",721.4,"200,016"
Gonorrhea,2010,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,541",758.1,"203,269"
Gonorrhea,2009,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,514",759,"199,466"
Gonorrhea,2008,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,496",744.7,"200,888"
Gonorrhea,2007,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,323",661.1,"200,133"
Gonorrhea,2006,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,330",669.9,"198,534"
Gonorrhea,2005,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,286",657.1,"195,722"
Gonorrhea,2004,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,169",603,"193,848"
Gonorrhea,2003,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,167",603.3,"193,426"
Gonorrhea,2002,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,415",731.4,"193,458"
Gonorrhea,2001,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,330",680.8,"195,357"
Gonorrhea,2000,Arkansas,5,15-19,All races/ethnicities,Both sexes,"1,105",554.4,"199,297"
Chlamydia,2019,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,193",2632.7,"197,251"
Chlamydia,2018,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,444",2755,"197,607"
Chlamydia,2017,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,487",2772.2,"197,931"
Chlamydia,2016,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,304",2669,"198,723"
Chlamydia,2015,Arkansas,5,15-19,All races/ethnicities,Both sexes,"4,990",2519.2,"198,080"
Chlamydia,2014,Arkansas,5,15-19,All races/ethnicities,Both sexes,"4,938",2507.8,"196,905"
Chlamydia,2013,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,069",2572.4,"197,053"
Chlamydia,2012,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,965",3017,"197,713"
Chlamydia,2011,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,975",2987.3,"200,016"
Chlamydia,2010,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,700",2804.2,"203,269"
Chlamydia,2009,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,607",2811,"199,466"
Chlamydia,2008,Arkansas,5,15-19,All races/ethnicities,Both sexes,"5,408",2692,"200,888"
Chlamydia,2007,Arkansas,5,15-19,All races/ethnicities,Both sexes,"3,883",1940.2,"200,133"
Chlamydia,2006,Arkansas,5,15-19,All races/ethnicities,Both sexes,"3,394",1709.5,"198,534"
Chlamydia,2005,Arkansas,5,15-19,All races/ethnicities,Both sexes,"3,455",1765.3,"195,722"
Chlamydia,2004,Arkansas,5,15-19,All races/ethnicities,Both sexes,"3,069",1583.2,"193,848"
Chlamydia,2003,Arkansas,5,15-19,All races/ethnicities,Both sexes,"3,139",1622.8,"193,426"
Chlamydia,2002,Arkansas,5,15-19,All races/ethnicities,Both sexes,"2,990",1545.6,"193,458"
Chlamydia,2001,Arkansas,5,15-19,All races/ethnicities,Both sexes,"2,946",1508,"195,357"
Chlamydia,2000,Arkansas,5,15-19,All races/ethnicities,Both sexes,"2,611",1310.1,"199,297"
Gonorrhea,2019,California,6,15-19,All races/ethnicities,Both sexes,"6,836",269.8,"2,533,694"
Gonorrhea,2018,California,6,15-19,All races/ethnicities,Both sexes,"6,976",274.4,"2,542,222"
Gonorrhea,2017,California,6,15-19,All races/ethnicities,Both sexes,"7,260",284.1,"2,555,367"
Gonorrhea,2016,California,6,15-19,All races/ethnicities,Both sexes,"6,393",247.9,"2,579,376"
Gonorrhea,2015,California,6,15-19,All races/ethnicities,Both sexes,"6,106",235,"2,598,665"
Gonorrhea,2014,California,6,15-19,All races/ethnicities,Both sexes,"5,693",217.5,"2,617,626"
Gonorrhea,2013,California,6,15-19,All races/ethnicities,Both sexes,"5,103",192.1,"2,656,458"
Gonorrhea,2012,California,6,15-19,All races/ethnicities,Both sexes,"4,914",182.1,"2,697,945"
Gonorrhea,2011,California,6,15-19,All races/ethnicities,Both sexes,"4,839",176.3,"2,745,490"
Gonorrhea,2010,California,6,15-19,All races/ethnicities,Both sexes,"5,121",182.4,"2,808,286"
Gonorrhea,2009,California,6,15-19,All races/ethnicities,Both sexes,"4,742",173.5,"2,733,365"
Gonorrhea,2008,California,6,15-19,All races/ethnicities,Both sexes,"5,895",215.6,"2,734,223"
Gonorrhea,2007,California,6,15-19,All races/ethnicities,Both sexes,"7,182",264.5,"2,715,598"
Gonorrhea,2006,California,6,15-19,All races/ethnicities,Both sexes,"7,239",270.5,"2,676,108"
Gonorrhea,2005,California,6,15-19,All races/ethnicities,Both sexes,"7,297",277.7,"2,627,422"
Gonorrhea,2004,California,6,15-19,All races/ethnicities,Both sexes,"6,179",240.2,"2,572,502"
Gonorrhea,2003,California,6,15-19,All races/ethnicities,Both sexes,"5,436",215.1,"2,527,054"
Gonorrhea,2002,California,6,15-19,All races/ethnicities,Both sexes,"5,162",207,"2,493,524"
Gonorrhea,2001,California,6,15-19,All races/ethnicities,Both sexes,"5,053",204.4,"2,472,558"
Gonorrhea,2000,California,6,15-19,All races/ethnicities,Both sexes,"4,655",189.4,"2,457,972"
Chlamydia,2019,California,6,15-19,All races/ethnicities,Both sexes,"41,037",1619.7,"2,533,694"
Chlamydia,2018,California,6,15-19,All races/ethnicities,Both sexes,"41,600",1636.4,"2,542,222"
Chlamydia,2017,California,6,15-19,All races/ethnicities,Both sexes,"40,306",1577.3,"2,555,367"
Chlamydia,2016,California,6,15-19,All races/ethnicities,Both sexes,"36,668",1421.6,"2,579,376"
Chlamydia,2015,California,6,15-19,All races/ethnicities,Both sexes,"35,825",1378.6,"2,598,665"
Chlamydia,2014,California,6,15-19,All races/ethnicities,Both sexes,"35,011",1337.5,"2,617,626"
Chlamydia,2013,California,6,15-19,All races/ethnicities,Both sexes,"36,969",1391.7,"2,656,458"
Chlamydia,2012,California,6,15-19,All races/ethnicities,Both sexes,"39,703",1471.6,"2,697,945"
Chlamydia,2011,California,6,15-19,All races/ethnicities,Both sexes,"43,022",1567,"2,745,490"
Chlamydia,2010,California,6,15-19,All races/ethnicities,Both sexes,"40,956",1458.4,"2,808,286"
Chlamydia,2009,California,6,15-19,All races/ethnicities,Both sexes,"41,840",1530.7,"2,733,365"
Chlamydia,2008,California,6,15-19,All races/ethnicities,Both sexes,"43,220",1580.7,"2,734,223"
Chlamydia,2007,California,6,15-19,All races/ethnicities,Both sexes,"41,212",1517.6,"2,715,598"
Chlamydia,2006,California,6,15-19,All races/ethnicities,Both sexes,"39,282",1467.9,"2,676,108"
Chlamydia,2005,California,6,15-19,All races/ethnicities,Both sexes,"38,038",1447.7,"2,627,422"
Chlamydia,2004,California,6,15-19,All races/ethnicities,Both sexes,"35,469",1378.8,"2,572,502"
Chlamydia,2003,California,6,15-19,All races/ethnicities,Both sexes,"34,484",1364.6,"2,527,054"
Chlamydia,2002,California,6,15-19,All races/ethnicities,Both sexes,"32,837",1316.9,"2,493,524"
Chlamydia,2001,California,6,15-19,All races/ethnicities,Both sexes,"31,585",1277.4,"2,472,558"
Chlamydia,2000,California,6,15-19,All races/ethnicities,Both sexes,"30,383",1236.1,"2,457,972"
Gonorrhea,2019,Colorado,8,15-19,All races/ethnicities,Both sexes,"1,472",402.8,"365,448"
Gonorrhea,2018,Colorado,8,15-19,All races/ethnicities,Both sexes,"1,146",316.9,"361,609"
Gonorrhea,2017,Colorado,8,15-19,All races/ethnicities,Both sexes,"1,196",335.5,"356,443"
Gonorrhea,2016,Colorado,8,15-19,All races/ethnicities,Both sexes,909,257.4,"353,094"
Gonorrhea,2015,Colorado,8,15-19,All races/ethnicities,Both sexes,684,196.9,"347,373"
Gonorrhea,2014,Colorado,8,15-19,All races/ethnicities,Both sexes,430,125.8,"341,767"
Gonorrhea,2013,Colorado,8,15-19,All races/ethnicities,Both sexes,459,135.4,"339,108"
Gonorrhea,2012,Colorado,8,15-19,All races/ethnicities,Both sexes,602,177.7,"338,846"
Gonorrhea,2011,Colorado,8,15-19,All races/ethnicities,Both sexes,544,159.9,"340,243"
Gonorrhea,2010,Colorado,8,15-19,All races/ethnicities,Both sexes,693,204,"339,753"
Gonorrhea,2009,Colorado,8,15-19,All races/ethnicities,Both sexes,740,221.5,"334,114"
Gonorrhea,2008,Colorado,8,15-19,All races/ethnicities,Both sexes,931,278.7,"334,026"
Gonorrhea,2007,Colorado,8,15-19,All races/ethnicities,Both sexes,799,240.8,"331,778"
Gonorrhea,2006,Colorado,8,15-19,All races/ethnicities,Both sexes,834,253.2,"329,388"
Gonorrhea,2005,Colorado,8,15-19,All races/ethnicities,Both sexes,697,213.2,"326,944"
Gonorrhea,2004,Colorado,8,15-19,All races/ethnicities,Both sexes,638,197.2,"323,516"
Gonorrhea,2003,Colorado,8,15-19,All races/ethnicities,Both sexes,650,200.8,"323,694"
Gonorrhea,2002,Colorado,8,15-19,All races/ethnicities,Both sexes,741,229.8,"322,475"
Gonorrhea,2001,Colorado,8,15-19,All races/ethnicities,Both sexes,777,244,"318,418"
Gonorrhea,2000,Colorado,8,15-19,All races/ethnicities,Both sexes,751,242.7,"309,396"
Chlamydia,2019,Colorado,8,15-19,All races/ethnicities,Both sexes,"7,493",2050.4,"365,448"
Chlamydia,2018,Colorado,8,15-19,All races/ethnicities,Both sexes,"7,299",2018.5,"361,609"
Chlamydia,2017,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,610",1854.4,"356,443"
Chlamydia,2016,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,070",1719.1,"353,094"
Chlamydia,2015,Colorado,8,15-19,All races/ethnicities,Both sexes,"5,696",1639.7,"347,373"
Chlamydia,2014,Colorado,8,15-19,All races/ethnicities,Both sexes,"5,390",1577.1,"341,767"
Chlamydia,2013,Colorado,8,15-19,All races/ethnicities,Both sexes,"5,317",1567.9,"339,108"
Chlamydia,2012,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,104",1801.4,"338,846"
Chlamydia,2011,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,441",1893.1,"340,243"
Chlamydia,2010,Colorado,8,15-19,All races/ethnicities,Both sexes,"5,956",1753,"339,753"
Chlamydia,2009,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,278",1879,"334,114"
Chlamydia,2008,Colorado,8,15-19,All races/ethnicities,Both sexes,"6,103",1827.1,"334,026"
Chlamydia,2007,Colorado,8,15-19,All races/ethnicities,Both sexes,"5,389",1624.3,"331,778"
Chlamydia,2006,Colorado,8,15-19,All races/ethnicities,Both sexes,"4,629",1405.3,"329,388"
Chlamydia,2005,Colorado,8,15-19,All races/ethnicities,Both sexes,"4,691",1434.8,"326,944"
Chlamydia,2004,Colorado,8,15-19,All races/ethnicities,Both sexes,"4,261",1317.1,"323,516"
Chlamydia,2003,Colorado,8,15-19,All races/ethnicities,Both sexes,"3,983",1230.5,"323,694"
Chlamydia,2002,Colorado,8,15-19,All races/ethnicities,Both sexes,"4,603",1427.4,"322,475"
Chlamydia,2001,Colorado,8,15-19,All races/ethnicities,Both sexes,"4,400",1381.8,"318,418"
Chlamydia,2000,Colorado,8,15-19,All races/ethnicities,Both sexes,"3,102",1002.6,"309,396"
Gonorrhea,2019,Connecticut,9,15-19,All races/ethnicities,Both sexes,630,263.7,"238,872"
Gonorrhea,2018,Connecticut,9,15-19,All races/ethnicities,Both sexes,777,321.5,"241,659"
Gonorrhea,2017,Connecticut,9,15-19,All races/ethnicities,Both sexes,615,251.9,"244,184"
Gonorrhea,2016,Connecticut,9,15-19,All races/ethnicities,Both sexes,378,152.8,"247,310"
Gonorrhea,2015,Connecticut,9,15-19,All races/ethnicities,Both sexes,284,113.8,"249,575"
Gonorrhea,2014,Connecticut,9,15-19,All races/ethnicities,Both sexes,335,132.9,"252,082"
Gonorrhea,2013,Connecticut,9,15-19,All races/ethnicities,Both sexes,493,194.2,"253,825"
Gonorrhea,2012,Connecticut,9,15-19,All races/ethnicities,Both sexes,483,187.8,"257,122"
Gonorrhea,2011,Connecticut,9,15-19,All races/ethnicities,Both sexes,591,230,"256,925"
Gonorrhea,2010,Connecticut,9,15-19,All races/ethnicities,Both sexes,598,235.8,"253,575"
Gonorrhea,2009,Connecticut,9,15-19,All races/ethnicities,Both sexes,643,252.3,"254,890"
Gonorrhea,2008,Connecticut,9,15-19,All races/ethnicities,Both sexes,702,274.8,"255,424"
Gonorrhea,2007,Connecticut,9,15-19,All races/ethnicities,Both sexes,582,229.2,"253,943"
Gonorrhea,2006,Connecticut,9,15-19,All races/ethnicities,Both sexes,612,241.6,"253,277"
Gonorrhea,2005,Connecticut,9,15-19,All races/ethnicities,Both sexes,632,253.5,"249,332"
Gonorrhea,2004,Connecticut,9,15-19,All races/ethnicities,Both sexes,661,271.4,"243,550"
Gonorrhea,2003,Connecticut,9,15-19,All races/ethnicities,Both sexes,744,312.1,"238,380"
Gonorrhea,2002,Connecticut,9,15-19,All races/ethnicities,Both sexes,846,362,"233,729"
Gonorrhea,2001,Connecticut,9,15-19,All races/ethnicities,Both sexes,734,324.3,"226,330"
Gonorrhea,2000,Connecticut,9,15-19,All races/ethnicities,Both sexes,833,383.6,"217,170"
Chlamydia,2019,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,965",1659.9,"238,872"
Chlamydia,2018,Connecticut,9,15-19,All races/ethnicities,Both sexes,"4,684",1938.3,"241,659"
Chlamydia,2017,Connecticut,9,15-19,All races/ethnicities,Both sexes,"4,739",1940.7,"244,184"
Chlamydia,2016,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,207",1296.8,"247,310"
Chlamydia,2015,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,220",1290.2,"249,575"
Chlamydia,2014,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,521",1396.8,"252,082"
Chlamydia,2013,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,711",1462,"253,825"
Chlamydia,2012,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,734",1452.2,"257,122"
Chlamydia,2011,Connecticut,9,15-19,All races/ethnicities,Both sexes,"4,194",1632.4,"256,925"
Chlamydia,2010,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,889",1533.7,"253,575"
Chlamydia,2009,Connecticut,9,15-19,All races/ethnicities,Both sexes,"3,947",1548.5,"254,890"
